"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1235017";"OROTIC ACID";"ANIMAL GALACTOSE FACTOR|NSC-9791|OROPUR|OROTIC ACID|OROTYL|WHEY FACTOR";"Small molecule";"2.0";"156.10";"13";"33";"-1.24";"103.02";"3";"3";"0";"1";"N";"0.47";"2.64";"None";"-1.23";"-4.75";"1";"MOL";"0";"11";"6";"3";"0";"156.0171";"-0.21";"ACID";"C5H4N2O4";"O=C(O)c1cc(=O)[nH]c(=O)[nH]1";"PXQPEWDEAKTCGB-UHFFFAOYSA-N"
"CHEMBL505147";"UK-390957";"UK-390,957|UK-390957";"Small molecule";"2.0";"352.48";"6";"13";"2.91";"72.63";"5";"1";"0";"6";"N";"0.81";"10.35";"7.27";"2.65";"2.41";"2";"MOL";"0";"23";"5";"2";"0";"352.0915";"-1.59";"NEUTRAL";"C16H20N2O3S2";"CSc1ccc(Oc2ccc(S(N)(=O)=O)cc2CN(C)C)cc1";"VCNSPGHSQPMCFF-UHFFFAOYSA-N"
"CHEMBL2110857";"LAVOLTIDINE";"AH-23844 FREE BASE|LAVOLTIDINE";"Small molecule";"2.0";"359.47";"1";"2";"2.17";"75.44";"7";"2";"0";"9";"N";"0.67";"13.45";"8.74";"2.03";"0.67";"2";"MOL";"0";"26";"7";"2";"0";"359.2321";"-1.35";"BASE";"C19H29N5O2";"Cn1nc(CO)nc1NCCCOc1cccc(CN2CCCCC2)c1";"VTLNPNNUIJHJQB-UHFFFAOYSA-N"
"CHEMBL2137148";"MOCRAVIMOD";"MOCRAVIMOD";"Small molecule";"2.0";"444.00";"5";"16";"4.68";"75.71";"5";"3";"0";"10";"N";"0.42";"None";"9.38";"4.80";"2.85";"3";"MOL";"0";"30";"4";"4";"0";"443.1322";"-0.48";"BASE";"C24H26ClNO3S";"NC(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl";"IINUNQPYJGJCJI-UHFFFAOYSA-N"
"CHEMBL282614";"ELTOPRAZINE";"DU-28853|ELTOPRAZINE";"Small molecule";"2.0";"220.27";"11";"33";"0.87";"33.73";"4";"1";"0";"1";"N";"0.76";"None";"8.83";"1.06";"-0.38";"1";"MOL";"0";"16";"4";"1";"0";"220.1212";"-0.68";"BASE";"C12H16N2O2";"c1cc2c(c(N3CCNCC3)c1)OCCO2";"WVLHGCRWEHCIOT-UHFFFAOYSA-N"
"CHEMBL1084430";"INARIGIVIR";"INARIGIVIR|ORI-9020|SB-40";"Small molecule";"2.0";"587.51";"6";"11";"-1.05";"228.16";"16";"5";"2";"9";"N";"0.15";"0.97";"4.94";"-4.06";"-2.99";"3";"MOL";"0";"39";"17";"5";"2";"587.1199";"0.95";"ACID";"C20H26N7O10PS";"CO[C@@H]1[C@H](OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C[C@@H]2O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O";"LYMICVBGNUEHGE-FUQPUAIBSA-N"
"CHEMBL4594439";"UDONITRECTAG";"REC-0559|UDONITRECTAG";"Small molecule";"2.0";"353.37";"";"";"1.83";"76.07";"4";"1";"0";"5";"N";"0.89";"3.70";"None";"2.88";"-0.43";"2";"MOL";"0";"26";"6";"1";"0";"353.1263";"0.28";"ACID";"C20H19NO5";"O=C(O)[C@H]1O[C@H]2O[C@@H]1C(=O)N(Cc1ccccc1)[C@@H]2Cc1ccccc1";"SEKGLVUAECPQQM-NHAYFPRASA-N"
"CHEMBL1997373";"COSITECAN";"BNP-1350|BNP1350|COSITECAN|KARENTECIN|Karenitecin";"Small molecule";"2.0";"448.60";"59";"59";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"448.1818";"None";"None";"C25H28N2O4Si";"CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CC[Si](C)(C)C";"POADTFBBIXOWFJ-VWLOTQADSA-N"
"CHEMBL4594615";"AQUACOBALAMIN";"AQUACOBALAMIN|AQUOCOBALAMIN|AQUOCOBALAMIN HYDROXIDE|AQUOCOBALAMINE|HYDROXOCOBALAMIN HYDRATE|HYDROXOCOBALAMINUM HYDRATE|VITAMIN B12B";"Unknown";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1230575";"MENAQUINONE 7";"MENAKINON 7|MENAQUINONE 7|MENAQUINONE K7|MENAQUINONE-7|VITAMIN K2(35)|VITAMIN MK 7";"Small molecule";"2.0";"649.02";"";"";"14.10";"34.14";"2";"0";"2";"20";"N";"0.13";"None";"None";"13.46";"13.46";"1";"MOL";"0";"48";"2";"0";"2";"648.4906";"0.93";"NEUTRAL";"C46H64O2";"CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O";"RAKQPZMEYJZGPI-LJWNYQGCSA-N"
