,index,smiles
0,63,Cc1cccc(C)c1OCC(C)N
1,126,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
2,485,O=C(O)c1cc(O)c(O)c(O)c1
3,489,CCOCC
4,514,CCC(C)C(CC)C(N)=O
5,822,[H][C@]12CC(CC)=C[C@@]1([H])[C@@](CN)(CC(=O)O)C2
6,1098,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
7,1533,NCC(=O)O
8,1809,CCC(=O)O
9,1849,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
10,2119,COc1nc(C)nc(Cl)c1NC1=NCCN1
11,2472,Cc1ccc(C(C)C)cc1O
12,2665,N[C@]1(C(=O)O)C[C@@H]([18F])C1
13,2710,C[C@H]1CNCCc2ccc(Cl)cc21
14,3057,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O
15,3167,Cc1occc(=O)c1O
16,3259,Cc1c(O)c(=O)ccn1C
17,3288,CC(C)(CCCCOCCCCC(C)(C)C(=O)O)C(=O)O
18,3390,NCCCC[C@H](N)C(=O)O
19,3474,CC(C)C[C@H](N)C(=O)O
20,3702,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CCC(=O)C=C3CC[C@@]21[H]
21,3865,O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CC2)CC1
22,4412,C=C(C)[C@H]1CC=C(C)CC1
23,4451,[H][C@]12CN(CC3CC3)C[C@]([H])(CN(CC3CC3)C1)C21CCCC1
24,4900,CC(=O)CCC(=O)O
25,4972,[H][C@]12CC[C@]([H])(C1)[C@](C)(NC)C2(C)C
26,5044,[H][C@@](O)(/C=C/[C@@]1([H])[C@]([H])(O)CC(=O)[C@]1([H])C/C=C\CCCC(=O)O)CCCCC
27,5132,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
28,5585,[H][C@@]12CCCN1C(=O)CNC2=O
29,5814,CN(CCCl)CCCl
30,6230,N[C@]1(C(=O)O)C[C@@H](F)C1
31,6320,C[N+](C)(C)CC(O)CC(=O)[O-]
32,6460,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
33,6976,O=[N+]([O-])c1nccn1CC(O)CF
34,6990,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
35,7149,C=CC(N)CCC(=O)O
36,7317,N[C@@H](Cc1ccccc1)C(=O)O
